Pattern,3rd Value Avg,4th Value Avg
625000000,13.81640015,642.0921
2500000000,51.01690063,2711.481
5625000000,112.645874,6175.623
10000000000,200.2743896,11113.24
40000000000,809.3937866,45516.91
90000000000,1844.725989,103891.7
160000000000,3335.638116,187131
250000000000,5301.086346,296701.5
25000,4.639331055,129.5807
50000,8.163916016,324.3352
75000,13.20805054,624.4048
100000,21.35475464,1037.0158
200000,72.27991943,3674.066
300000,154.7184753,7900.695
400000,277.1450378,14092.18
500000,436.9635864,21962.71
25000,8.44206543,400.9693
50000,22.60823364,1415.652
75000,46.05521851,3098.683
100000,78.940625,5446.27
200000,294.6651428,21540.41
300000,658.1908447,48350.89
400000,1180.236224,85933.11
500000,1867.356439,134251.3
