Pattern,3rd Value Avg,4th Value Avg
25000,8.054888916,422.449
50000,8.383331299,437.559
75000,8.544598389,447.367
100000,8.687695313,456.528
200000,10.21838989,517.303
300000,11.07658691,559.768
400000,11.35287476,562.964
500000,11.97988281,593.502
600000,12.34678345,609.877
700000,13.28344116,648.343
800000,13.61586914,669.103
900000,14.13778076,688.253
1000000,14.67327881,712.24
25000,1.683441162,79.2394
50000,2.011737061,93.3454
75000,2.326019287,103.406
100000,2.498840332,111.488
200000,3.515777588,149.573
300000,4.106561279,172.558
400000,4.622650146,191.53
500000,4.999005127,208.015
600000,5.473339844,226.323
700000,6.171716309,254.597
800000,6.617254639,277.369
900000,7.465716553,316.986
1000000,7.86328125,340.696
