Pattern,3rd Value Avg,4th Value Avg
"253,165.78",2.221697998,97.4082
"540,988.91",2.816711426,122.756
"841,893.25",3.178918457,137.588
"1,151,292.55",3.571258545,156.312
"2,441,214.53",5.121575928,210.764
"3,783,461.33",6.485870361,261.245
"5,159,687.93",7.256201172,293.378
"6,561,181.69",8.266241455,338.465
"7,982,810.96",9.301837158,381.87
"9,421,184.93",10.33526611,436.648
"10,874,091.92",11.31680298,482.209
"12,339,135.04",12.3453186,530.879
"13,815,510.56",13.05273438,566.927
25000,1.94286499,89.8128
50000,2.350695801,106.907
75000,2.686798096,119.147
100000,2.944091797,130.402
200000,4.179541016,179.337
300000,4.981524658,210.996
400000,5.44833374,231.755
500000,6.17678833,264.219
600000,6.772796631,289.938
700000,7.600952148,325.934
800000,8.520776367,367.849
900000,9.220385742,401.164
1000000,9.701904297,425.43
25000,2.006561279,93.8695
50000,2.377209473,108.381
75000,2.733050537,122.427
100000,3.150830078,139.323
200000,4.42802124,186.8
300000,5.360314941,217.587
400000,6.199285889,250.028
500000,7.200274658,283.517
600000,7.579876709,307.41
700000,8.571392822,348.601
800000,9.479296875,388.893
900000,9.864916992,416.074
1000000,10.80653076,451.577
