Pattern,3rd Value Avg,4th Value Avg
625000000,2.128955078,96.1161
2500000000,2.672491455,115.109
5625000000,3.037335205,130.1
10000000000,3.380725098,143.183
40000000000,4.917236328,209.103
90000000000,6.040020752,250.682
160000000000,6.907055664,277.751
250000000000,7.543286133,308.691
"360,000,000,000",8.370471191,346.761
"490,000,000,000",9.028466797,383.578
"640,000,000,000",10.11950684,433.548
"810,000,000,000",10.98648682,477.013
"1,000,000,000,000",12.02542114,534.548
"253,165.78",2.061358643,92.8474
"540,988.91",2.423394775,108.902
"841,893.25",2.652392578,115.74
"1,151,292.55",2.914196777,127.775
"2,441,214.53",4.06328125,173.154
"3,783,461.33",4.744091797,202.547
"5,159,687.93",5.384423828,234.23
"6,561,181.69",5.988848877,259.56
"7,982,810.96",6.434936523,284.851
"9,421,184.93",7.14163208,319.982
"10,874,091.92",8.093786621,361.594
"12,339,135.04",8.978167725,405.269
"13,815,510.56",9.873223877,447.806
25000,4.486846924,199.597
50000,7.490948486,348.333
75000,9.825054932,472.823
100000,12.87420654,628.408
200000,24.57177124,1213.23
