Pattern,3rd Value Avg,4th Value Avg
25000,8.23612060546875,333.994
50000,8.62967529296875,347.7582
75000,8.708154296875,354.17199999999997
100000,8.886279296875,364.7608
200000,9.54344482421875,391.12399999999997
300000,11.140985107421875,424.5278
400000,11.40028076171875,447.6726
500000,11.76978759765625,467.6056
600000,12.55924072265625,489.2937
700000,13.614044189453125,519.1850999999999
800000,14.159735107421875,539.1083
900000,14.3102294921875,561.4521
1000000,14.8835205078125,579.716
25000,7.9931396484375,327.9882
50000,8.380029296875,337.738
75000,8.580401611328124,344.9159
100000,8.644091796875,351.96930000000003
200000,9.0441162109375,367.4919
300000,9.548565673828126,386.9315
400000,9.95770263671875,404.93510000000003
500000,10.931939697265625,424.30429999999996
600000,11.444775390625,438.0322
700000,11.8310302734375,458.21450000000004
800000,11.752667236328126,467.2623
900000,12.7838623046875,484.9303
1000000,12.516766357421876,492.45820000000003
