Pattern,3rd Value Avg,4th Value Avg
25000,2.84427490234375,62.1996
50000,3.483642578125,74.67699999999999
75000,3.837762451171875,84.0664
100000,4.260064697265625,97.8352
200000,5.38828125,125.60909999999998
300000,6.535504150390625,158.0803
400000,7.56805419921875,183.7246
500000,8.4156982421875,214.4056
600000,9.017120361328125,238.8101
700000,9.5000732421875,260.88890000000004
800000,9.8751220703125,282.0383
900000,10.6580078125,307.1756
1000000,11.6048828125,334.8909
25000,3.099383544921875,66.9525
50000,3.769970703125,81.5491
75000,4.2289794921875,95.3648
100000,4.73592529296875,108.18140000000001
200000,5.984686279296875,146.5446
300000,7.89261474609375,191.6134
400000,8.74453125,220.2111
500000,9.70147705078125,259.7285
600000,10.44564208984375,295.2565
700000,11.162005615234374,332.7269
800000,12.00552978515625,366.831
900000,12.69366455078125,401.2789
1000000,13.349737548828125,433.73639999999995
25000,2.700372314453125,59.976099999999995
50000,3.248486328125,74.1467
75000,3.50205078125,80.44590000000001
100000,3.892645263671875,88.9964
200000,5.01907958984375,121.48409999999998
300000,5.97633056640625,146.7055
400000,6.53084716796875,167.99849999999998
500000,7.18929443359375,197.6943
600000,7.707916259765625,217.3146
700000,8.22354736328125,241.6718
800000,8.92633056640625,262.8923
900000,9.681817626953125,288.966
1000000,10.07086181640625,308.5319
